pickup_year,pickup_area_code,count
2018,1.0,736800
2018,2.0,201837
2018,3.0,79044
2018,4.0,67970
2018,5.0,76236
2018,6.0,138724
2018,7.0,129139
2018,8.0,58740
2018,9.0,104520
2018,10.0,69062
2018,11.0,98571
2018,12.0,57710
2018,13.0,97614
2018,14.0,810504
2018,15.0,98999
2018,16.0,262314
2018,17.0,486182
2018,18.0,168583
2018,19.0,132882
2018,20.0,108376
2018,21.0,145062
2018,22.0,117312
2018,23.0,106064
2018,24.0,165596
2018,25.0,247457
2018,26.0,513940
2018,27.0,714513
2018,28.0,58655
2018,29.0,68269
2018,30.0,187812
2018,31.0,531214
2018,32.0,183420
2018,33.0,196062
2018,34.0,157714
2018,35.0,177103
2018,36.0,366264
2018,37.0,228387
2018,38.0,203626
2018,39.0,295908
2018,40.0,222181
2018,41.0,200197
2018,42.0,361996
2018,43.0,133430
2018,44.0,151666
2018,45.0,294257
2018,46.0,98365
2018,47.0,302220
2018,48.0,188949
2018,49.0,62109
2018,50.0,224421
2018,51.0,672888
2018,52.0,245525
2018,53.0,239690
2018,54.0,144334
2018,55.0,158521
2018,56.0,214666
2018,57.0,106460
2018,58.0,76391
2018,59.0,145729
2018,60.0,57087
2018,61.0,84780
2018,62.0,218356
2018,63.0,319388
2018,64.0,131952
2018,65.0,198720
2018,66.0,128490
2018,67.0,161052
2018,68.0,207614
2018,69.0,95947
2018,70.0,929818
2018,71.0,317976
2018,72.0,262283
2018,73.0,839603
2018,74.0,372626
2018,75.0,2121827
2018,76.0,3522015
2018,77.0,5794279
2018,78.0,1388493
2018,79.0,691917
2018,80.0,501652
2018,81.0,1146877
2018,82.0,1776656
2018,83.0,345183
2018,84.0,666268
2018,85.0,612880
2018,86.0,336002
2018,87.0,374805
2018,88.0,241888
2018,89.0,123623
2018,90.0,301865
2018,91.0,124880
2018,92.0,201476
2018,93.0,783747
2018,94.0,231341
2018,95.0,1632094
2018,96.0,282441
2018,97.0,269796
2018,98.0,469447
2018,99.0,217234
2018,100.0,282557
2018,101.0,196998
2018,102.0,138952
2018,103.0,171618
2018,104.0,594488
2018,105.0,165982
2018,106.0,175742
2018,107.0,214704
2018,108.0,161806
2018,109.0,88316
2018,110.0,104635
2018,111.0,189640
2018,112.0,83056
2018,113.0,164884
2018,114.0,64308
2018,115.0,123497
2018,116.0,115007
2018,117.0,204430
2018,118.0,174228
2018,119.0,362532
2018,120.0,262483
2018,121.0,108263
2018,122.0,179833
2018,123.0,100842
2018,124.0,144774
2018,125.0,84037
2018,126.0,216379
2018,127.0,399316
2018,128.0,213653
2018,129.0,108764
2018,130.0,165637
2018,131.0,183675
2018,132.0,222240
2018,133.0,34438
2018,134.0,98618
2018,135.0,109538
2018,136.0,152985
2018,137.0,416038
2018,138.0,153144
2018,139.0,82765
2018,140.0,37145
2018,,0
2019,1.0,996659
2019,2.0,278168
2019,3.0,106158
2019,4.0,94641
2019,5.0,103176
2019,6.0,194355
2019,7.0,175525
2019,8.0,78861
2019,9.0,136367
2019,10.0,90073
2019,11.0,128420
2019,12.0,76486
2019,13.0,122623
2019,14.0,1043845
2019,15.0,131691
2019,16.0,350744
2019,17.0,632898
2019,18.0,203668
2019,19.0,166834
2019,20.0,148375
2019,21.0,195820
2019,22.0,169645
2019,23.0,142673
2019,24.0,230263
2019,25.0,358552
2019,26.0,712807
2019,27.0,915320
2019,28.0,82737
2019,29.0,95366
2019,30.0,256802
2019,31.0,677333
2019,32.0,245688
2019,33.0,254810
2019,34.0,206537
2019,35.0,236965
2019,36.0,477819
2019,37.0,292718
2019,38.0,279993
2019,39.0,385642
2019,40.0,296258
2019,41.0,274879
2019,42.0,476742
2019,43.0,178292
2019,44.0,196881
2019,45.0,377639
2019,46.0,136150
2019,47.0,383046
2019,48.0,247240
2019,49.0,79740
2019,50.0,292605
2019,51.0,839266
2019,52.0,326339
2019,53.0,342490
2019,54.0,194977
2019,55.0,217852
2019,56.0,274235
2019,57.0,137749
2019,58.0,103428
2019,59.0,197066
2019,60.0,74050
2019,61.0,117617
2019,62.0,295335
2019,63.0,411990
2019,64.0,169313
2019,65.0,253370
2019,66.0,169924
2019,67.0,207181
2019,68.0,267879
2019,69.0,125648
2019,70.0,1179810
2019,71.0,392850
2019,72.0,333575
2019,73.0,1098309
2019,74.0,479647
2019,75.0,2742981
2019,76.0,4713243
2019,77.0,7222906
2019,78.0,1737095
2019,79.0,875519
2019,80.0,620627
2019,81.0,1435569
2019,82.0,2219753
2019,83.0,447726
2019,84.0,799237
2019,85.0,758943
2019,86.0,408167
2019,87.0,474314
2019,88.0,307318
2019,89.0,161328
2019,90.0,406506
2019,91.0,165457
2019,92.0,272764
2019,93.0,1004535
2019,94.0,295921
2019,95.0,2062913
2019,96.0,364770
2019,97.0,345495
2019,98.0,634519
2019,99.0,281078
2019,100.0,366520
2019,101.0,253233
2019,102.0,178874
2019,103.0,219332
2019,104.0,783422
2019,105.0,218720
2019,106.0,219547
2019,107.0,284811
2019,108.0,215609
2019,109.0,118055
2019,110.0,150464
2019,111.0,263662
2019,112.0,115573
2019,113.0,232183
2019,114.0,87868
2019,115.0,170966
2019,116.0,159350
2019,117.0,280892
2019,118.0,232020
2019,119.0,498388
2019,120.0,354960
2019,121.0,163503
2019,122.0,240705
2019,123.0,138294
2019,124.0,187604
2019,125.0,114743
2019,126.0,291925
2019,127.0,538256
2019,128.0,289780
2019,129.0,150722
2019,130.0,215822
2019,131.0,249059
2019,132.0,321735
2019,133.0,50484
2019,134.0,141129
2019,135.0,149278
2019,136.0,221060
2019,137.0,566682
2019,138.0,213516
2019,139.0,118282
2019,140.0,51640
2019,,0
2020,1.0,518714
2020,2.0,209646
2020,3.0,70051
2020,4.0,67800
2020,5.0,78917
2020,6.0,128015
2020,7.0,103994
2020,8.0,48155
2020,9.0,72409
2020,10.0,41719
2020,11.0,76342
2020,12.0,38242
2020,13.0,77180
2020,14.0,577588
2020,15.0,64966
2020,16.0,160498
2020,17.0,339756
2020,18.0,105996
2020,19.0,92644
2020,20.0,73108
2020,21.0,130431
2020,22.0,126197
2020,23.0,96963
2020,24.0,174319
2020,25.0,277101
2020,26.0,463113
2020,27.0,581054
2020,28.0,65241
2020,29.0,66245
2020,30.0,192322
2020,31.0,364410
2020,32.0,166998
2020,33.0,163277
2020,34.0,116992
